"",SECTOR,Female,Male,Total Apprehensions
Miami,,219,"2,061","2,280"
New Orleans,,92,828,920
Ramey,,65,323,388
Coastal Border Sectors Total,,376,"3,212","3,588"
Blaine,,97,191,288
Buffalo,,69,378,447
Detroit,,78,992,"1,070"
Grand Forks,,56,440,496
Havre,,13,26,39
Houlton,,17,13,30
Spokane,,17,191,208
Swanton,,106,343,449
Northern Border Sectors Total,,453,"2,574","3,027"
Big Bend (formerly Marfa),,985,"5,017","6,002"
Del Rio,,"2,622","10,854","13,476"
El Centro,,"2,791","15,842","18,633"
El Paso,,"7,364","17,829","25,193"
Laredo,,"3,651","21,809","25,460"
Rio Grande Valley (formerly McAllen),,"50,306","87,256","137,562"
San Diego,,"4,117","21,969","26,086"
Tucson,,"4,693","33,964","38,657"
Yuma,,"4,328","8,519","12,847"
Southwest Border Sectors Total,,"80,857","223,059","303,916"
Nationwide Total,,"81,686","228,845","310,531"
